Participant,GazesMean,TextRTMean
5f201aabcbe8bf04a0ae4a1f,24.05,0.52
6145a88c94a2c86532d36b0f,44.025,14.2812625
57d0a0bee3221e00015fe385,24.35,8.2989225
5a8d8079190420000156435d,36.725,16.87457
5c2c62542c45d400014a32e6,8.225,5.5088875
5c59e6519dd64d00018adaa8,14.55,9.8110925
5d6807f9778de5001a120d9a,20.5,11.6872
5edb15e94aaed578887b44ae,39.1,15.763175
5ef4b8cf1f15df0ae9c7a706,15.15,8.45525
5f4bf504f50c0e7df0998290,13.675,10.1651625
6018a5c0e1600b187ccb8693,26.05,0.428865
6165a91cfe487d469c4242fd,11.375,10.970605
628b8df25b434f5840a2b3b4,46.475,0.906395
628e0063fa56e316da2a71cb,21.225,15.9011725
63d80145d2f0da3ee6a8d523,53.1,16.275195
